+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
+---------------+------+--------+-------+-------------+
| CEU0800000003 | 2023 |  M11   | 33.82 | preliminary |
| CEU0800000003 | 2023 |  M10   | 34.04 | preliminary |
| CEU0800000003 | 2023 |  M09   | 33.69 |             |
| CEU0800000003 | 2023 |  M08   | 33.47 |             |
| CEU0800000003 | 2023 |  M07   | 33.71 |             |
| CEU0800000003 | 2023 |  M06   | 33.19 |             |
| CEU0800000003 | 2023 |  M05   | 33.24 |             |
| CEU0800000003 | 2023 |  M04   | 33.63 |             |
| CEU0800000003 | 2023 |  M03   | 33.09 |             |
| CEU0800000003 | 2023 |  M02   | 33.15 |             |
| CEU0800000003 | 2023 |  M01   | 33.37 |             |
| CEU0800000003 | 2022 |  M12   | 32.77 |             |
| CEU0800000003 | 2022 |  M11   | 32.62 |             |
| CEU0800000003 | 2022 |  M10   | 32.81 |             |
| CEU0800000003 | 2022 |  M09   | 32.40 |             |
| CEU0800000003 | 2022 |  M08   | 32.16 |             |
| CEU0800000003 | 2022 |  M07   | 32.10 |             |
| CEU0800000003 | 2022 |  M06   | 31.84 |             |
| CEU0800000003 | 2022 |  M05   | 32.18 |             |
| CEU0800000003 | 2022 |  M04   | 32.00 |             |
| CEU0800000003 | 2022 |  M03   | 31.77 |             |
| CEU0800000003 | 2022 |  M02   | 31.69 |             |
| CEU0800000003 | 2022 |  M01   | 31.95 |             |
| CEU0800000003 | 2021 |  M12   | 31.23 |             |
| CEU0800000003 | 2021 |  M11   | 31.04 |             |
| CEU0800000003 | 2021 |  M10   | 30.99 |             |
| CEU0800000003 | 2021 |  M09   | 30.78 |             |
| CEU0800000003 | 2021 |  M08   | 30.71 |             |
| CEU0800000003 | 2021 |  M07   | 30.36 |             |
| CEU0800000003 | 2021 |  M06   | 30.15 |             |
| CEU0800000003 | 2021 |  M05   | 30.44 |             |
| CEU0800000003 | 2021 |  M04   | 30.21 |             |
| CEU0800000003 | 2021 |  M03   | 29.95 |             |
| CEU0800000003 | 2021 |  M02   | 30.08 |             |
| CEU0800000003 | 2021 |  M01   | 29.99 |             |
| CEU0800000003 | 2020 |  M12   | 29.71 |             |
| CEU0800000003 | 2020 |  M11   | 29.65 |             |
| CEU0800000003 | 2020 |  M10   | 29.32 |             |
| CEU0800000003 | 2020 |  M09   | 29.29 |             |
| CEU0800000003 | 2020 |  M08   | 29.35 |             |
| CEU0800000003 | 2020 |  M07   | 29.03 |             |
| CEU0800000003 | 2020 |  M06   | 28.94 |             |
| CEU0800000003 | 2020 |  M05   | 29.54 |             |
| CEU0800000003 | 2020 |  M04   | 30.08 |             |
| CEU0800000003 | 2020 |  M03   | 28.73 |             |
| CEU0800000003 | 2020 |  M02   | 28.63 |             |
| CEU0800000003 | 2020 |  M01   | 28.34 |             |
| CEU0800000003 | 2019 |  M12   | 28.26 |             |
| CEU0800000003 | 2019 |  M11   | 28.01 |             |
| CEU0800000003 | 2019 |  M10   | 27.93 |             |
| CEU0800000003 | 2019 |  M09   | 28.07 |             |
| CEU0800000003 | 2019 |  M08   | 27.68 |             |
| CEU0800000003 | 2019 |  M07   | 27.58 |             |
| CEU0800000003 | 2019 |  M06   | 27.66 |             |
| CEU0800000003 | 2019 |  M05   | 27.53 |             |
| CEU0800000003 | 2019 |  M04   | 27.63 |             |
| CEU0800000003 | 2019 |  M03   | 27.57 |             |
| CEU0800000003 | 2019 |  M02   | 27.58 |             |
| CEU0800000003 | 2019 |  M01   | 27.51 |             |
| CEU0800000003 | 2018 |  M12   | 27.44 |             |
| CEU0800000003 | 2018 |  M11   | 27.09 |             |
| CEU0800000003 | 2018 |  M10   | 27.04 |             |
| CEU0800000003 | 2018 |  M09   | 27.21 |             |
| CEU0800000003 | 2018 |  M08   | 26.71 |             |
| CEU0800000003 | 2018 |  M07   | 26.82 |             |
| CEU0800000003 | 2018 |  M06   | 26.48 |             |
| CEU0800000003 | 2018 |  M05   | 26.62 |             |
| CEU0800000003 | 2018 |  M04   | 26.91 |             |
| CEU0800000003 | 2018 |  M03   | 26.60 |             |
| CEU0800000003 | 2018 |  M02   | 26.58 |             |
| CEU0800000003 | 2018 |  M01   | 26.60 |             |
| CEU0800000003 | 2017 |  M12   | 26.26 |             |
| CEU0800000003 | 2017 |  M11   | 26.17 |             |
| CEU0800000003 | 2017 |  M10   | 26.34 |             |
| CEU0800000003 | 2017 |  M09   | 26.15 |             |
| CEU0800000003 | 2017 |  M08   | 25.84 |             |
| CEU0800000003 | 2017 |  M07   | 26.03 |             |
| CEU0800000003 | 2017 |  M06   | 25.70 |             |
| CEU0800000003 | 2017 |  M05   | 25.83 |             |
| CEU0800000003 | 2017 |  M04   | 26.16 |             |
| CEU0800000003 | 2017 |  M03   | 25.86 |             |
| CEU0800000003 | 2017 |  M02   | 25.91 |             |
| CEU0800000003 | 2017 |  M01   | 26.06 |             |
| CEU0800000003 | 2016 |  M12   | 25.54 |             |
| CEU0800000003 | 2016 |  M11   | 25.54 |             |
| CEU0800000003 | 2016 |  M10   | 25.73 |             |
| CEU0800000003 | 2016 |  M09   | 25.41 |             |
| CEU0800000003 | 2016 |  M08   | 25.17 |             |
| CEU0800000003 | 2016 |  M07   | 25.18 |             |
| CEU0800000003 | 2016 |  M06   | 25.08 |             |
| CEU0800000003 | 2016 |  M05   | 25.39 |             |
| CEU0800000003 | 2016 |  M04   | 25.30 |             |
| CEU0800000003 | 2016 |  M03   | 25.21 |             |
| CEU0800000003 | 2016 |  M02   | 25.23 |             |
| CEU0800000003 | 2016 |  M01   | 25.25 |             |
| CEU0800000003 | 2015 |  M12   | 24.89 |             |
| CEU0800000003 | 2015 |  M11   | 25.11 |             |
| CEU0800000003 | 2015 |  M10   | 24.85 |             |
| CEU0800000003 | 2015 |  M09   | 24.76 |             |
| CEU0800000003 | 2015 |  M08   | 24.74 |             |
| CEU0800000003 | 2015 |  M07   | 24.51 |             |
| CEU0800000003 | 2015 |  M06   | 24.47 |             |
| CEU0800000003 | 2015 |  M05   | 24.59 |             |
| CEU0800000003 | 2015 |  M04   | 24.67 |             |
| CEU0800000003 | 2015 |  M03   | 24.79 |             |
| CEU0800000003 | 2015 |  M02   | 24.82 |             |
| CEU0800000003 | 2015 |  M01   | 24.61 |             |
| CEU0800000003 | 2014 |  M12   | 24.27 |             |
| CEU0800000003 | 2014 |  M11   | 24.52 |             |
| CEU0800000003 | 2014 |  M10   | 24.21 |             |
| CEU0800000003 | 2014 |  M09   | 24.19 |             |
| CEU0800000003 | 2014 |  M08   | 23.99 |             |
| CEU0800000003 | 2014 |  M07   | 23.97 |             |
| CEU0800000003 | 2014 |  M06   | 24.13 |             |
| CEU0800000003 | 2014 |  M05   | 24.00 |             |
| CEU0800000003 | 2014 |  M04   | 24.10 |             |
| CEU0800000003 | 2014 |  M03   | 24.23 |             |
| CEU0800000003 | 2014 |  M02   | 24.32 |             |
| CEU0800000003 | 2014 |  M01   | 24.06 |             |
+---------------+------+--------+-------+-------------+
